year,liczba miejsc w wozach obsługujących komunikację miejską na 1 tys. mieszkańców, liczba
year,number of urban transport passengers seats per 1 thous. inhabitants,percentage of the passengers seats adjusted to carrying the disabled persons in total number of passengers seats in urban transport stock (both buses and trams)
2010,48.3,50.2
2011,47.9,51.8
2012,47.1,60.5
2013,45.0,64.5
2014,44.8,69.6
2015,46.4,72.4
2016,46.8,74.7
2017,45.9,72.1
