year,ogółem,mężczyźni,kobiety,16-24 lata,25-34 lata,35-44 lata,45-54 lata,55-65 lat
2010,,,,,,,,
2011,,,,,,,,
2012,,,,,,,,
2013,81.0,78.7,83.8,90.3,86.5,82.8,76.1,71.0
2014,,,,,,,,
2015,,,,,,,,
2016,,,,,,,,
2017,,,,,,,,
