goal,title,short
1,"No poverty",No poverty
2,"Zero hunger",Zero hunger
3,"Good health and well-being",Good health and well-being
4,"Quality education",Quality education
5,"Gender equality",Gender equality
6,"Clean water and sanitation",Clean water and sanitation
7,"Affordable and clean energy",Affordable and clean energy
8,"Decent work and economic growth",Decent work and economic growth
9,"Industry, innovation and infrastructure",Industry innovation and infrastructure
